method,seed,feature_mode,source_best_test_mae_cm,source_final_test_mae_cm,data325_mae_cm,data325_rmse_cm,data325_median_abs_error_cm,checkpoint
cls,11,cls,1.14,1.22,44.22126723498833,55.58699793752166,37.122318267822266,seed_cls_11_best.pth
cls,42,cls,1.0,1.15,41.248149499660585,51.47913667945172,35.20010757446289,seed_cls_42_best.pth
cls,73,cls,1.51,1.51,45.91785989156583,57.4399474778041,39.7816276550293,seed_cls_73_best.pth
patch_mean,11,patch_mean,0.8,1.18,36.402961358791444,47.140987787544816,31.709190368652344,seed_patch_mean_11_best.pth
patch_mean,42,patch_mean,1.07,1.21,35.71049118041992,45.6549060903225,27.72543716430664,seed_patch_mean_42_best.pth
patch_mean,73,patch_mean,1.29,1.36,38.891059596364094,49.84580777399971,32.7528076171875,seed_patch_mean_73_best.pth
attn,11,attn_weighted,1.28,1.33,35.1331901550293,43.43035107191069,29.095306396484375,seed_attn_11_best.pth
attn,42,attn_weighted,1.3,1.57,27.85857214578768,36.285102005537944,20.883289337158203,seed_attn_42_best.pth
attn,73,attn_weighted,1.89,2.0,34.29111294630097,42.958047599536684,27.391632080078125,seed_attn_73_best.pth
attn_aug,11,attn_weighted,1.48,1.49,39.797065455739094,50.53364775282171,32.83604431152344,seed_attn_aug_11_best.pth
attn_aug,42,attn_weighted,1.24,1.3,28.906375885009766,38.12528702393374,23.394020080566406,seed_attn_aug_42_best.pth
attn_aug,73,attn_weighted,1.83,1.93,37.67172715722061,47.999027097843,30.958560943603516,seed_attn_aug_73_best.pth
